"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","6","55","112","23","0"
"Visit Management","Doctor Dashboard","","3","2","10","0","0"
"User Account Management","Change Password and Language Settings","","0","1","0","4","0"
"Doctor Workflow Management","End-to-End User Flows","","2","13","4","0","0"
"intelehealth application","login module - intelehealth application","","0","0","4","0","0"
"Patient Visit Management","Visit Summary and Prescription","","0","15","0","0","0"
"Doctor-Patient Interaction","Video Call Functionality","","0","4","1","0","0"
