"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","13","5","189","0"
"Doctor Workflow Management","End-to-End User Flows","","1","12","6","0","0"
"Patient Visit Management","Visit Summary and Prescription","","0","1","0","15","0"
"Visit Management","Doctor Dashboard","","0","0","15","0","0"
"Doctor-Patient Interaction","Video Call Functionality","","0","1","0","5","0"
"User Account Management","Change Password and Language Settings","","0","1","0","4","0"
"intelehealth application","login module - intelehealth application","","0","0","4","0","0"
