"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"User Account Management","Change Password and Language Settings","","0","4","0","0","0"
"","","","5","154","16","21","0"
"Visit Management","Doctor Dashboard","","4","1","9","1","0"
"Doctor Workflow Management","End-to-End User Flows","","1","17","0","1","0"
"Patient Visit Management","Visit Summary and Prescription","","0","15","0","0","0"
"Doctor-Patient Interaction","Video Call Functionality","","0","5","0","0","0"
"intelehealth application","login module - intelehealth application","","0","0","4","0","0"
