"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Doctor Workflow Management","End-to-End User Flows","","1","11","5","2","0"
"","","","5","62","115","12","0"
"Patient Visit Management","Visit Summary and Prescription","","0","15","0","0","0"
"User Account Management","Change Password and Language Settings","","0","4","0","0","0"
"Doctor-Patient Interaction","Video Call Functionality","","0","4","1","0","0"
"Visit Management","Doctor Dashboard","","2","2","10","1","0"
"intelehealth application","login module - intelehealth application","","0","0","4","0","0"
