"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Doctor Workflow Management","End-to-End User Flows","","0","1","0","19","0"
"","","","0","14","0","194","0"
"Patient Visit Management","Visit Summary and Prescription","","0","1","0","15","0"
"Visit Management","Doctor Dashboard","","0","1","0","15","0"
"Doctor-Patient Interaction","Video Call Functionality","","0","1","0","5","0"
"intelehealth application","login module - intelehealth application","","0","1","0","4","0"
"User Account Management","Change Password and Language Settings","","0","4","0","0","0"
