"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Doctor Workflow Management","End-to-End User Flows","","0","1","0","0","18"
"","","","2","1","10","0","181"
"Visit Management","Doctor Dashboard","","0","0","1","0","14"
"Patient Visit Management","Visit Summary and Prescription","","0","1","0","0","14"
"User Account Management","Change Password and Language Settings","","0","0","1","0","3"
"intelehealth application","login module - intelehealth application","","0","0","1","0","3"
"Doctor-Patient Interaction","Video Call Functionality","","0","0","1","0","4"
