"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","8","70","116","0","0"
"Doctor-Patient Interaction","Video Call Functionality","","0","4","1","0","0"
"Doctor Workflow Management","End-to-End User Flows","","0","13","6","0","0"
"Visit Management","Doctor Dashboard","","1","0","14","0","0"
"intelehealth application","login module - intelehealth application","","0","0","4","0","0"
"Patient Visit Management","Visit Summary and Prescription","","0","15","0","0","0"
"User Account Management","Change Password and Language Settings","","0","2","2","0","0"
