"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","3","99","76","16","0"
"Doctor Workflow Management","End-to-End User Flows","","0","9","5","5","0"
"Visit Management","Doctor Dashboard","","2","0","10","3","0"
"Doctor-Patient Interaction","Video Call Functionality","","0","4","1","0","0"
"Patient Visit Management","Visit Summary and Prescription","","0","15","0","0","0"
"User Account Management","Change Password and Language Settings","","0","4","0","0","0"
"intelehealth application","login module - intelehealth application","","0","0","4","0","0"
